location,target_end_date,horizon,wis,overprediction,underprediction,dispersion,model_id,target,reference_date
san-antonio,2026-01-31,1,3.835627201149861,0,3.7168743350770743,0.1187528660727872,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
beaumont,2026-01-31,1,0.2788655711213749,0.12719778696695969,0,0.1516677841544152,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
el-paso,2026-01-31,1,0.6980622426337667,0.5663008276621501,0,0.13176141497161659,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
austin,2026-01-31,1,0.5663279823958872,0,0.44405571089850526,0.12227227149738207,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
dallas,2026-01-31,1,0.4984520743290585,0,0.33530678749084486,0.1631452868382136,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
texas,2026-01-31,1,1.270898818423349,0,1.1486017894744858,0.1222970289488634,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
provo,2026-01-31,1,0.8664535167151025,0.6817042295138039,0,0.18474928720129868,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
salt-lake-city,2026-01-31,1,0.5771944191720751,0.41620387501186795,0,0.1609905441602071,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
ogden,2026-01-31,1,0.1849445128275289,0,0.04697845723893909,0.13796605558858985,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
utah,2026-01-31,1,0.19911115921205946,0.03350126319461398,0,0.1656098960174455,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
roanoke,2026-01-31,1,0.24210640215211457,0.0544117302364773,0,0.18769467191563727,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
virginia,2026-01-31,1,0.24235852224959265,0.04831983725229897,0,0.19403868499729368,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
nyc,2026-01-31,1,2.3355761307477954,2.0943234597312084,0,0.24125267101658718,ACCIDDA-InfluPaint,ILI ED visits pct,2026-01-31
nenc,2026-01-31,1,0.21217199035816728,0.06380708111657042,0,0.14836490924159687,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
senc,2026-01-31,1,0.11637994584937889,0,2.9943651623195083e-4,0.11608050933314693,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
fay-area,2026-01-31,1,2.2482820006873876,0,2.121086670557658,0.1271953301297294,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
rtp-area,2026-01-31,1,1.5725241174466076,0,1.4691777192221744,0.1033463982244333,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
triad-area,2026-01-31,1,1.289606313274966,0,1.1770038530561655,0.11260246021880044,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
wnc,2026-01-31,1,0.17060637621415994,0,0.03372174739837646,0.13688462881578348,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
clt-area,2026-01-31,1,1.0222163988484274,0,0.9098814553684657,0.11233494347996184,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
north-carolina,2026-01-31,1,0.21577974879079403,0.03273332489861384,0,0.18304642389218018,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
portland-or,2026-01-31,1,1.5256417780121163,0,1.353462985886467,0.172178792125649,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
salem,2026-01-31,1,3.6551229410701325,0,3.469700847731696,0.18542209333843662,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
deschutes,2026-01-31,1,2.5593099002374533,0,2.4126347875595084,0.14667511267794506,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
eugene,2026-01-31,1,3.5778875259475567,0,3.477592199378543,0.10029532656901413,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
medford,2026-01-31,1,5.323184657113419,0,5.230083977116479,0.09310067999694083,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
oregon,2026-01-31,1,4.887135797457562,0,4.807117803361681,0.0800179940958818,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
denver,2026-02-07,2,0.18125702643973962,0,0.07084616263707481,0.11041086380266482,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
mesa,2026-02-07,2,0.20974540206293252,0,0.07503060711754678,0.13471479494538574,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
colorado-springs,2026-02-07,2,0.27402709571023776,0,0.15824588961071429,0.11578120609952348,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
weld,2026-02-07,2,0.13421714466893012,0,0.035733760992685944,0.0984833836762442,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
boulder,2026-02-07,2,0.38418618531690707,0,0.21253032949235692,0.17165585582455012,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
larimer,2026-02-07,2,0.22203433651063184,0.037986450195312514,0,0.18404788631531932,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
