location,target_end_date,horizon,reference_date,wis,model_id,target
boulder,2026-02-07,2,2026-02-07,0.38418618531690707,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-02-07,2,2026-02-07,0.22203433651063184,ACCIDDA-InfluPaint,Flu ED visits pct
colorado,2026-02-07,2,2026-02-07,0.19988980044093402,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-02-07,2,2026-02-07,1.7860972634702916,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-02-07,2,2026-02-07,0.41843621432781175,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-02-07,2,2026-02-07,0.4162440674172508,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-02-07,2,2026-02-07,0.1762945431719224,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-02-07,2,2026-02-07,0.2231735990279251,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-02-07,2,2026-02-07,0.2248614137454166,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-02-07,2,2026-02-07,0.3149452824725046,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-02-07,2,2026-02-07,0.7526254945993421,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-02-07,2,2026-02-07,0.3056402506099807,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-02-07,2,2026-02-07,2.558299022739131,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-02-07,2,2026-02-07,0.16318842348125248,ACCIDDA-InfluPaint,Flu ED visits pct
georgia,2026-02-07,2,2026-02-07,0.23728834055364137,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-02-07,2,2026-02-07,0.24543238679567972,ACCIDDA-InfluPaint,Flu ED visits pct
indiana,2026-02-07,2,2026-02-07,0.7188603518737687,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-02-07,2,2026-02-07,0.6566694854034318,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-02-07,2,2026-02-07,0.17405982250968616,ACCIDDA-InfluPaint,Flu ED visits pct
maine,2026-02-07,2,2026-02-07,0.26666712944706294,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-02-07,2,2026-02-07,0.3086828427513441,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-02-07,2,2026-02-07,0.12865401835077345,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-02-07,2,2026-02-07,0.3126840297174123,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-02-07,2,2026-02-07,0.12176038617475167,ACCIDDA-InfluPaint,Flu ED visits pct
maryland,2026-02-07,2,2026-02-07,0.22724638800654148,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-02-07,2,2026-02-07,0.1886679888599449,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-02-07,2,2026-02-07,0.24154331237905557,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-02-07,2,2026-02-07,1.2295209906664162,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-02-07,2,2026-02-07,0.4538813432885541,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-02-07,2,2026-02-07,0.15613452922138907,ACCIDDA-InfluPaint,Flu ED visits pct
lynn,2026-02-07,2,2026-02-07,0.2432834895617433,ACCIDDA-InfluPaint,Flu ED visits pct
massachusetts,2026-02-07,2,2026-02-07,0.4394340121911633,ACCIDDA-InfluPaint,Flu ED visits pct
st-paul,2026-02-07,2,2026-02-07,0.20964168880548747,ACCIDDA-InfluPaint,Flu ED visits pct
duluth,2026-02-07,2,2026-02-07,0.1823047239250607,ACCIDDA-InfluPaint,Flu ED visits pct
minneapolis,2026-02-07,2,2026-02-07,0.1501298866545161,ACCIDDA-InfluPaint,Flu ED visits pct
st-cloud,2026-02-07,2,2026-02-07,0.6660546289963853,ACCIDDA-InfluPaint,Flu ED visits pct
rochester,2026-02-07,2,2026-02-07,1.7003035211314748,ACCIDDA-InfluPaint,Flu ED visits pct
minnesota,2026-02-07,2,2026-02-07,0.19699125092890532,ACCIDDA-InfluPaint,Flu ED visits pct
columbia,2026-02-07,2,2026-02-07,0.3254085046135716,ACCIDDA-InfluPaint,Flu ED visits pct
greenville,2026-02-07,2,2026-02-07,0.20502583569122693,ACCIDDA-InfluPaint,Flu ED visits pct
florence,2026-02-07,2,2026-02-07,1.5637531485739675,ACCIDDA-InfluPaint,Flu ED visits pct
charleston,2026-02-07,2,2026-02-07,2.9160730217645563,ACCIDDA-InfluPaint,Flu ED visits pct
rock-hill,2026-02-07,2,2026-02-07,0.2154489760514764,ACCIDDA-InfluPaint,Flu ED visits pct
horry,2026-02-07,2,2026-02-07,0.7459608845826649,ACCIDDA-InfluPaint,Flu ED visits pct
south-carolina,2026-02-07,2,2026-02-07,0.4831339562518727,ACCIDDA-InfluPaint,Flu ED visits pct
houston,2026-02-07,2,2026-02-07,0.2048268791702059,ACCIDDA-InfluPaint,Flu ED visits pct
san-antonio,2026-02-07,2,2026-02-07,5.369847075964013,ACCIDDA-InfluPaint,Flu ED visits pct
beaumont,2026-02-07,2,2026-02-07,0.32623844540781427,ACCIDDA-InfluPaint,Flu ED visits pct
el-paso,2026-02-07,2,2026-02-07,0.4347568320731322,ACCIDDA-InfluPaint,Flu ED visits pct
austin,2026-02-07,2,2026-02-07,1.3354287939684253,ACCIDDA-InfluPaint,Flu ED visits pct
dallas,2026-02-07,2,2026-02-07,0.24145710761348413,ACCIDDA-InfluPaint,Flu ED visits pct
texas,2026-02-07,2,2026-02-07,0.8956464599569632,ACCIDDA-InfluPaint,Flu ED visits pct
provo,2026-02-07,2,2026-02-07,0.22436682966020394,ACCIDDA-InfluPaint,Flu ED visits pct
salt-lake-city,2026-02-07,2,2026-02-07,0.21863949676354727,ACCIDDA-InfluPaint,Flu ED visits pct
ogden,2026-02-07,2,2026-02-07,0.2986807949178749,ACCIDDA-InfluPaint,Flu ED visits pct
utah,2026-02-07,2,2026-02-07,0.26458633177810253,ACCIDDA-InfluPaint,Flu ED visits pct
roanoke,2026-02-07,2,2026-02-07,0.6527470986048381,ACCIDDA-InfluPaint,Flu ED visits pct
