model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.25,quantile_0.75,coverage_50
ACCIDDA-InfluPaint,columbus,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,4.55,1.0427390336990356,1.830954760313034,0
ACCIDDA-InfluPaint,columbus,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,6.02,1.3331177532672882,2.6605039834976196,0
ACCIDDA-InfluPaint,columbus,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.21,1.1912513077259064,2.913558840751648,0
ACCIDDA-InfluPaint,columbus,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.65,1.4239844679832458,3.5567234158515935,0
ACCIDDA-InfluPaint,la-grange,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.8,1.0427390336990356,1.830954760313034,0
ACCIDDA-InfluPaint,la-grange,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.14,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,la-grange,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.36,1.1912513077259064,2.913558840751648,0
ACCIDDA-InfluPaint,la-grange,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.66,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,indianapolis,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.51,4.168821454048157,5.542178988456726,0
ACCIDDA-InfluPaint,indianapolis,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.95,3.4805561304092407,5.360244035720827,0
ACCIDDA-InfluPaint,indianapolis,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.67,3.248180866241455,5.702718257904054,1
ACCIDDA-InfluPaint,indianapolis,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,5.29,2.65585196018219,5.154236912727357,0
ACCIDDA-InfluPaint,bangor,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.93,1.8647294640541077,2.948874413967133,1
ACCIDDA-InfluPaint,bangor,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.54,1.3541758060455322,2.7884781956672673,1
ACCIDDA-InfluPaint,bangor,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.23,1.1636547148227692,2.786897599697113,0
ACCIDDA-InfluPaint,bangor,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.62,0.8581160753965378,2.555962860584259,0
ACCIDDA-InfluPaint,portland,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.88,1.8647294640541077,2.948874413967133,1
ACCIDDA-InfluPaint,portland,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.56,1.3541758060455322,2.7884781956672673,1
ACCIDDA-InfluPaint,portland,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.71,1.1636547148227692,2.786897599697113,1
ACCIDDA-InfluPaint,portland,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.69,0.8581160753965378,2.555962860584259,1
ACCIDDA-InfluPaint,baltimore,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.16,1.0324938297271729,1.6376490592956547,1
ACCIDDA-InfluPaint,baltimore,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,0.59,1.111418902873993,1.860526204109192,0
ACCIDDA-InfluPaint,baltimore,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,0.67,1.0489269495010376,2.1317933797836304,0
ACCIDDA-InfluPaint,baltimore,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,0.81,0.857674777507782,2.0995759367942814,0
ACCIDDA-InfluPaint,frederick,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.69,1.0324938297271729,1.6376490592956547,0
ACCIDDA-InfluPaint,frederick,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.06,1.111418902873993,1.860526204109192,0
ACCIDDA-InfluPaint,frederick,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.24,1.0489269495010376,2.1317933797836304,1
ACCIDDA-InfluPaint,frederick,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.97,0.857674777507782,2.0995759367942814,1
ACCIDDA-InfluPaint,montgomery,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.49,1.0324938297271729,1.6376490592956547,1
