location,target_end_date,horizon,reference_date,wis,model_id,target
floyd,2026-02-07,2,2026-02-07,0.2317327849980858,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-02-07,2,2026-02-07,0.23772639601594875,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-02-07,2,2026-02-07,0.18883750712705988,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-02-07,2,2026-02-07,0.19839945166475248,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-02-07,2,2026-02-07,0.2684192300753461,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-02-07,2,2026-02-07,0.2495105627758636,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-02-07,2,2026-02-07,0.25661528490483765,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-02-07,2,2026-02-07,0.24839945166475244,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-02-07,2,2026-02-07,2.713405035427874,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-02-07,2,2026-02-07,0.20284389610919693,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-02-07,2,2026-02-07,0.5597300170196428,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-02-07,2,2026-02-07,0.26666712944706294,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-02-07,2,2026-02-07,0.241804749949111,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-02-07,2,2026-02-07,0.3877709092117019,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-02-07,2,2026-02-07,0.15724638800654145,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-02-07,2,2026-02-07,0.23451335583296093,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-02-07,2,2026-02-07,0.18391305467320815,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-02-07,2,2026-02-07,0.3055352983375392,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-02-07,2,2026-02-07,0.40610067885782997,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-02-07,2,2026-02-07,0.5711016616721949,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-02-07,2,2026-02-07,0.4227673455244967,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-02-07,2,2026-02-07,0.3255352983375392,ACCIDDA-InfluPaint,Flu ED visits pct
lynn,2026-02-07,2,2026-02-07,0.32886863167087255,ACCIDDA-InfluPaint,Flu ED visits pct
st-paul,2026-02-07,2,2026-02-07,0.5572377309699854,ACCIDDA-InfluPaint,Flu ED visits pct
duluth,2026-02-07,2,2026-02-07,0.2069912509289053,ACCIDDA-InfluPaint,Flu ED visits pct
minneapolis,2026-02-07,2,2026-02-07,0.34041031243072617,ACCIDDA-InfluPaint,Flu ED visits pct
st-cloud,2026-02-07,2,2026-02-07,0.4508056530853113,ACCIDDA-InfluPaint,Flu ED visits pct
rochester,2026-02-07,2,2026-02-07,1.0828735262983367,ACCIDDA-InfluPaint,Flu ED visits pct
columbia,2026-02-07,2,2026-02-07,0.20424701815678015,ACCIDDA-InfluPaint,Flu ED visits pct
greenville,2026-02-07,2,2026-02-07,0.1903510010821952,ACCIDDA-InfluPaint,Flu ED visits pct
florence,2026-02-07,2,2026-02-07,1.0589758896082637,ACCIDDA-InfluPaint,Flu ED visits pct
charleston,2026-02-07,2,2026-02-07,2.2489758896082637,ACCIDDA-InfluPaint,Flu ED visits pct
rock-hill,2026-02-07,2,2026-02-07,0.17368433441552852,ACCIDDA-InfluPaint,Flu ED visits pct
horry,2026-02-07,2,2026-02-07,0.39047387883894985,ACCIDDA-InfluPaint,Flu ED visits pct
houston,2026-02-07,2,2026-02-07,0.24885300017065473,ACCIDDA-InfluPaint,Flu ED visits pct
san-antonio,2026-02-07,2,2026-02-07,5.466998485094971,ACCIDDA-InfluPaint,Flu ED visits pct
beaumont,2026-02-07,2,2026-02-07,0.7167575710680747,ACCIDDA-InfluPaint,Flu ED visits pct
el-paso,2026-02-07,2,2026-02-07,0.4596949658460087,ACCIDDA-InfluPaint,Flu ED visits pct
austin,2026-02-07,2,2026-02-07,1.1169984850949704,ACCIDDA-InfluPaint,Flu ED visits pct
dallas,2026-02-07,2,2026-02-07,0.36708294355207016,ACCIDDA-InfluPaint,Flu ED visits pct
