model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.025,quantile_0.975,coverage_95
ACCIDDA-InfluPaint,columbus,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,4.55,0.5575366169214249,2.9617166817188263,0
ACCIDDA-InfluPaint,columbus,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,6.02,0.6828969195485115,4.710700452327728,0
ACCIDDA-InfluPaint,columbus,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.21,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,columbus,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.65,0.3652915097773075,7.6261818408966064,1
ACCIDDA-InfluPaint,la-grange,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.8,0.5575366169214249,2.9617166817188263,1
ACCIDDA-InfluPaint,la-grange,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.14,0.6828969195485115,4.710700452327728,1
ACCIDDA-InfluPaint,la-grange,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.36,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,la-grange,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.66,0.3652915097773075,7.6261818408966064,1
ACCIDDA-InfluPaint,indianapolis,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.51,2.99839249253273,7.276215970516205,1
ACCIDDA-InfluPaint,indianapolis,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.95,2.136243492364883,8.133659839630127,1
ACCIDDA-InfluPaint,indianapolis,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.67,1.9149380177259443,8.886632323265076,1
ACCIDDA-InfluPaint,indianapolis,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,5.29,1.2121943682432177,9.90085792541504,1
ACCIDDA-InfluPaint,bangor,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.93,1.1690965443849564,4.2038862109184265,1
ACCIDDA-InfluPaint,bangor,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.54,0.6646070331335068,4.608315408229828,1
ACCIDDA-InfluPaint,bangor,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.23,0.3579855263233185,5.424779713153839,1
ACCIDDA-InfluPaint,bangor,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.62,0.1779013592749834,5.5352917313575745,1
ACCIDDA-InfluPaint,portland,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.88,1.1690965443849564,4.2038862109184265,1
ACCIDDA-InfluPaint,portland,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.56,0.6646070331335068,4.608315408229828,1
ACCIDDA-InfluPaint,portland,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.71,0.3579855263233185,5.424779713153839,1
ACCIDDA-InfluPaint,portland,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.69,0.1779013592749834,5.5352917313575745,1
ACCIDDA-InfluPaint,baltimore,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.16,0.6427696943283081,2.3646188378334045,1
ACCIDDA-InfluPaint,baltimore,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,0.59,0.597977451980114,2.8377262353897095,0
ACCIDDA-InfluPaint,baltimore,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,0.67,0.3927442282438278,3.551673799753189,1
ACCIDDA-InfluPaint,baltimore,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,0.81,0.3098311685025692,3.5728198885917664,1
ACCIDDA-InfluPaint,frederick,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.69,0.6427696943283081,2.3646188378334045,1
ACCIDDA-InfluPaint,frederick,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.06,0.597977451980114,2.8377262353897095,1
ACCIDDA-InfluPaint,frederick,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.24,0.3927442282438278,3.551673799753189,1
ACCIDDA-InfluPaint,frederick,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.97,0.3098311685025692,3.5728198885917664,1
ACCIDDA-InfluPaint,montgomery,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.49,0.6427696943283081,2.3646188378334045,1
ACCIDDA-InfluPaint,montgomery,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,0.83,0.597977451980114,2.8377262353897095,1
ACCIDDA-InfluPaint,montgomery,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,0.84,0.3927442282438278,3.551673799753189,1
ACCIDDA-InfluPaint,montgomery,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.28,0.3098311685025692,3.5728198885917664,1
ACCIDDA-InfluPaint,harford,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.14,0.6427696943283081,2.3646188378334045,1
ACCIDDA-InfluPaint,harford,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,0.98,0.597977451980114,2.8377262353897095,1
ACCIDDA-InfluPaint,harford,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,0.79,0.3927442282438278,3.551673799753189,1
ACCIDDA-InfluPaint,harford,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.31,0.3098311685025692,3.5728198885917664,1
ACCIDDA-InfluPaint,worcester,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.28,1.8608182817697525,4.864876747131348,1
ACCIDDA-InfluPaint,worcester,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.8,1.2041713446378708,4.929536283016205,1
ACCIDDA-InfluPaint,worcester,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.6,0.8799725770950317,5.793216407299042,1
ACCIDDA-InfluPaint,worcester,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.75,0.4238218702375889,5.911705255508423,1
ACCIDDA-InfluPaint,pittsfield,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.01,1.8608182817697525,4.864876747131348,1
ACCIDDA-InfluPaint,pittsfield,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.53,1.2041713446378708,4.929536283016205,1
ACCIDDA-InfluPaint,pittsfield,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.38,0.8799725770950317,5.793216407299042,1
ACCIDDA-InfluPaint,pittsfield,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.92,0.4238218702375889,5.911705255508423,1
ACCIDDA-InfluPaint,boston,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.42,1.8608182817697525,4.864876747131348,0
ACCIDDA-InfluPaint,boston,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.27,1.2041713446378708,4.929536283016205,1
ACCIDDA-InfluPaint,boston,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.26,0.8799725770950317,5.793216407299042,1
ACCIDDA-InfluPaint,boston,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.73,0.4238218702375889,5.911705255508423,1
ACCIDDA-InfluPaint,springfield,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.2,1.8608182817697525,4.864876747131348,1
ACCIDDA-InfluPaint,springfield,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.5,1.2041713446378708,4.929536283016205,1
ACCIDDA-InfluPaint,springfield,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.45,0.8799725770950317,5.793216407299042,1
ACCIDDA-InfluPaint,springfield,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.77,0.4238218702375889,5.911705255508423,1
ACCIDDA-InfluPaint,new-bedford,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.8,1.8608182817697525,4.864876747131348,0
ACCIDDA-InfluPaint,new-bedford,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.74,1.2041713446378708,4.929536283016205,1
ACCIDDA-InfluPaint,new-bedford,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.93,0.8799725770950317,5.793216407299042,1
ACCIDDA-InfluPaint,new-bedford,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.29,0.4238218702375889,5.911705255508423,1
ACCIDDA-InfluPaint,lynn,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.01,1.8608182817697525,4.864876747131348,1
ACCIDDA-InfluPaint,lynn,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.73,1.2041713446378708,4.929536283016205,1
ACCIDDA-InfluPaint,lynn,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.64,0.8799725770950317,5.793216407299042,1
ACCIDDA-InfluPaint,lynn,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.91,0.4238218702375889,5.911705255508423,1
ACCIDDA-InfluPaint,st-paul,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.52,1.6375832259655,5.315351843833923,0
ACCIDDA-InfluPaint,st-paul,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.24,1.151457354426384,5.079239666461945,1
ACCIDDA-InfluPaint,st-paul,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.51,0.4267492517828941,4.093432575464249,1
ACCIDDA-InfluPaint,st-paul,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.72,0.2297389283776283,3.254239559173584,1
ACCIDDA-InfluPaint,duluth,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.48,1.6375832259655,5.315351843833923,0
ACCIDDA-InfluPaint,duluth,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.22,1.151457354426384,5.079239666461945,1
ACCIDDA-InfluPaint,duluth,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.84,0.4267492517828941,4.093432575464249,1
ACCIDDA-InfluPaint,duluth,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.48,0.2297389283776283,3.254239559173584,1
ACCIDDA-InfluPaint,minneapolis,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.73,1.6375832259655,5.315351843833923,1
ACCIDDA-InfluPaint,minneapolis,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.6,1.151457354426384,5.079239666461945,1
ACCIDDA-InfluPaint,minneapolis,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.87,0.4267492517828941,4.093432575464249,1
ACCIDDA-InfluPaint,minneapolis,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.9,0.2297389283776283,3.254239559173584,1
ACCIDDA-InfluPaint,st-cloud,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.75,1.6375832259655,5.315351843833923,1
ACCIDDA-InfluPaint,st-cloud,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.76,1.151457354426384,5.079239666461945,1
ACCIDDA-InfluPaint,st-cloud,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.16,0.4267492517828941,4.093432575464249,0
ACCIDDA-InfluPaint,st-cloud,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.52,0.2297389283776283,3.254239559173584,0
ACCIDDA-InfluPaint,rochester,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,6.17,1.6375832259655,5.315351843833923,0
ACCIDDA-InfluPaint,rochester,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,4.8,1.151457354426384,5.079239666461945,1
ACCIDDA-InfluPaint,rochester,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.58,0.4267492517828941,4.093432575464249,0
ACCIDDA-InfluPaint,rochester,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.73,0.2297389283776283,3.254239559173584,0
ACCIDDA-InfluPaint,columbia,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.72,1.855562373995781,4.699967920780182,1
ACCIDDA-InfluPaint,columbia,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.65,0.9020347371697426,4.350682258605957,1
ACCIDDA-InfluPaint,columbia,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.85,0.7930154725909233,5.331538140773773,1
ACCIDDA-InfluPaint,columbia,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.06,0.487457774579525,4.988688349723816,1
ACCIDDA-InfluPaint,greenville,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.99,1.855562373995781,4.699967920780182,1
ACCIDDA-InfluPaint,greenville,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.12,0.9020347371697426,4.350682258605957,1
ACCIDDA-InfluPaint,greenville,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.49,0.7930154725909233,5.331538140773773,1
ACCIDDA-InfluPaint,greenville,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.5,0.487457774579525,4.988688349723816,1
ACCIDDA-InfluPaint,florence,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.96,1.855562373995781,4.699967920780182,1
ACCIDDA-InfluPaint,florence,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,4.42,0.9020347371697426,4.350682258605957,0
