location,target_end_date,horizon,wis,model_id,target
eugene,2026-02-07,1,0.8386310043831069,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-02-07,1,1.0745952441263777,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-14,3,0.07247591067036305,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-14,3,0.07168288728238134,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-14,3,0.09447734251354417,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-14,3,0.0762870194895117,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-02-14,3,0.2016936272688012,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-02-14,3,0.08654977798049238,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-02-14,3,0.1686227357302109,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-02-14,3,0.12185654672384194,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-02-14,3,0.08549551915766335,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-02-14,3,0.10745352947233408,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-02-14,3,0.08665494996794997,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-02-14,3,0.09182384059404917,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-02-14,3,0.1643030208493758,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-02-14,3,0.09706746334124057,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-02-14,3,0.11520628458405906,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-02-14,3,0.21338407714953567,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-02-14,3,0.1464416054713403,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-02-14,3,0.06951513014258162,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-02-14,3,0.1481441546156321,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-02-14,3,0.07799637096735224,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-02-14,3,0.15252921673023911,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-02-14,3,0.07236137269161817,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-02-14,3,0.11811821543439713,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-02-14,3,0.127301532690474,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-02-14,3,0.10323386065158059,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-02-14,3,0.13270417976626495,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-02-14,3,0.14994940456599457,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-02-14,3,0.12304166747518086,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-02-14,3,0.08307439612636816,ACCIDDA-InfluPaint,Flu ED visits pct
lynn,2026-02-14,3,0.09814470327465113,ACCIDDA-InfluPaint,Flu ED visits pct
st-paul,2026-02-14,3,0.0673764230456231,ACCIDDA-InfluPaint,Flu ED visits pct
duluth,2026-02-14,3,0.08110101182667,ACCIDDA-InfluPaint,Flu ED visits pct
minneapolis,2026-02-14,3,0.08226856489316056,ACCIDDA-InfluPaint,Flu ED visits pct
st-cloud,2026-02-14,3,0.35351414122565883,ACCIDDA-InfluPaint,Flu ED visits pct
